a220117_BRANZ_HMP77.csv,,,,,
Points,Soak,Assured,t_2500,rH_2500,Q_2500
,,,HG2500.set_ts,HG2500.set_rh_pctc,HG2500.set_q
1,300,0,0.5,10,15
2,50,0,0.5,27,15
3,50,0,0.5,44,15
4,50,0,0.5,61,15
5,50,0,0.5,78,15
6,90,0,0.5,95,15
7,50,0,0.5,78,15
8,50,0,0.5,61,15
9,50,0,0.5,44,15
10,50,0,0.5,27,15
11,90,0,0.5,10,15
12,180,0,21,10,15
13,50,0,21,27,15
14,50,0,21,44,15
15,50,0,21,61,15
16,50,0,21,78,15
17,90,0,21,95,15
18,50,0,21,78,15
19,50,0,21,61,15
20,50,0,21,44,15
21,50,0,21,27,15
22,90,0,21,10,15
23,180,0,40,10,15
24,50,0,40,27,15
25,50,0,40,44,15
26,50,0,40,61,15
27,50,0,40,78,15
28,90,0,40,95,15
29,50,0,40,78,15
30,50,0,40,61,15
31,50,0,40,44,15
32,50,0,40,27,15
33,90,0,40,10,15
34,180,0,60,10,15
35,50,0,60,27,15
36,50,0,60,44,15
37,50,0,60,61,15
38,50,0,60,78,15
39,90,0,60,95,15
40,50,0,60,78,15
41,50,0,60,61,15
42,50,0,60,44,15
43,50,0,60,27,15
44,90,0,60,10,15
45,300,0,40,10,15
46,50,0,40,27,15
47,50,0,40,44,15
48,50,0,40,61,15
49,50,0,40,78,15
50,90,0,40,95,15
51,50,0,40,78,15
52,50,0,40,61,15
53,50,0,40,44,15
54,50,0,40,27,15
55,90,0,40,10,15
56,300,0,21,10,15
57,50,0,21,27,15
58,50,0,21,44,15
59,50,0,21,61,15
60,50,0,21,78,15
61,90,0,21,95,15
62,50,0,21,78,15
63,50,0,21,61,15
64,50,0,21,44,15
65,50,0,21,27,15
66,90,0,21,10,15
