aH96140255_Commissioning_G3_part2.csv,,,,,,,,
Points,Soak,Assured,G3 fp,G3 flow 1,G3 flow 2,G3 flow 3,G3 lower ts,G3 higher ts
,,,HGG3.set_fp,HGG3.set_q1,HGG3.set_q2,HGG3.set_q3,HGG3.set_tsu,HGG3.set_tsl
1,600,0,-85,0.8,0.5,0.8,-80.5,-80
2,600,0,-85,0.8,0.5,0.8,-80,-80
3,600,0,-85,0.8,0.5,0.8,-79.5,-80
4,600,0,-70,0.8,0.5,0.8,-65.5,-65
5,600,0,-70,0.8,0.5,0.8,-65,-65
6,600,0,-70,0.8,0.5,0.8,-64.9,-65
7,300,0,-50,0.8,0.5,0.8,-45.5,-45
8,300,0,-50,0.8,0.5,0.8,-45,-45
9,300,0,-50,0.8,0.5,0.8,-44.9,-45
10,300,0,-30,0.8,0.5,0.8,-25.5,-25
11,300,0,-30,0.8,0.5,0.8,-25,-25
12,300,0,-30,0.8,0.5,0.8,-24.5,-25
13,300,0,-10,0.8,0.5,0.8,-4.5,-5
14,300,0,-10,0.8,0.5,0.8,-5,-5
15,300,0,-10,0.8,0.5,0.8,-5.5,-5
16,300,0,-95,0.8,0.5,0.8,-90.5,-90
17,300,0,-95,0.8,0.5,0.8,-90,-90
18,300,0,-95,0.8,0.5,0.8,-89.5,-90
