a230216a_S17DUT_HIGH_CAP,,,,,,0.2
Points,Soak,Assured,Julabo_HL,Q,Current,
,,,Julabo_HL.write_Tsp1,SFC5500_22030201_10slm.write_qset,microK.write_current,
1,300,0,10.53,10,1,
2,30,0,10.53,10,1.414213562,
3,270,0,30.53,10,1,
4,30,0,30.53,10,1.414213562,
5,270,0,60.53,10,1,
6,30,0,60.53,10,1.414213562,
7,270,0,80.53,10,1,
8,30,0,80.53,10,1.414213562,
9,270,0,60.53,10,1,
10,30,0,60.53,10,1.414213562,
11,270,0,30.53,10,1,
12,30,0,30.53,10,1.414213562,
13,270,0,10.53,10,1,
14,30,0,10.53,10,1.414213562,
15,270,0,30.53,10,1,
16,30,0,30.53,10,1.414213562,
17,270,0,60.53,10,1,
18,30,0,60.53,10,1.414213562,
19,270,0,80.53,10,1,
20,30,0,80.53,10,1.414213562,
